system_time_ns,unity_realtime_s,pos_mm_x,pos_mm_y,pos_mm_z,rot_q_x,rot_q_y,rot_q_z,rot_q_w,joint_rad_0,joint_rad_1,joint_rad_2,gimbal_rad_0,gimbal_rad_1,gimbal_rad_2,force_N_x,force_N_y,force_N_z,is_holding,held_ring_id,event_code,fps,dt_frame_s
33683600,27.281895899999654,0,0,0,0,0,0,1,-Infinity,Infinity,0,Infinity,Infinity,0,0,0,0,0,-1,0,0,0
34792500,27.283010800005286,0,0,0,0,0,0,1,-Infinity,Infinity,0,Infinity,Infinity,0,0,0,0,0,-1,0,901.794556,0.0011089000000000001
71337900,27.31955499999458,-5.429809,-73.68827,37.927742,0,0,0,1,-0.0263167284,0.105678894,0.5859658,0.0116157327,0.0302545354,0.7070486,NaN,NaN,NaN,0,-1,0,858.073,0.036545400000000006
86664600,27.334882800001651,-13.8613119,-79.06379,48.8361244,-0.290768832,0.08798436,0.32759428,0.894647539,-0.06373583,0.00693645235,0.684170067,-0.02801372,0.0392031223,0.7134405,NaN,NaN,NaN,0,-1,0,818.431641,0.0153267
87077700,27.335296100005507,-14.5424757,-79.5161057,49.6358643,-0.3370118,0.107961461,0.3118386,0.881773233,-0.06661422,-0.00163210661,0.6923198,-0.0318488255,0.04048149,0.7147189,NaN,NaN,NaN,0,-1,0,898.546143,0.0004131
114562700,27.362779899995076,-35.41691,-68.13737,60.7502365,-0.340836436,0.110176183,0.310587257,0.88047,-0.15337719,-0.0118327718,0.830865264,-0.186531514,0.0788325742,0.7594618,NaN,NaN,NaN,0,-1,0,855.438,0.027485000000000002
115014700,27.363232899995637,-36.0765762,-67.91974,60.6497154,-0.396015584,0.177263364,0.270227373,0.859492,-0.156255573,-0.0102006653,0.830865264,-0.194201738,0.0788325742,0.760740161,NaN,NaN,NaN,0,-1,0,923.2856,0.00045200000000000004
139586000,27.387803599995095,-57.62626,-61.10685,62.0611458,-0.394717872,0.179490536,0.2689022,0.8600422,-0.24507454,-0.008976585,0.896470666,-0.415359616,0.06988399,0.8412774,NaN,NaN,NaN,0,-1,0,879.1562,0.0245713
168062800,27.4162803000072,-74.25332,-49.225502,66.40588,-0.369350672,0.2545092,0.234849826,0.8623519,-0.3063432,-0.0118327718,1.00934446,-0.6544147,0.06988399,0.9358768,NaN,NaN,NaN,0,-1,0,836.9542,0.028476800000000003
168553100,27.41677160000836,-74.25332,-49.225502,66.40588,-0.337501645,0.349035233,0.187283859,0.8539273,-0.3063432,-0.0118327718,1.00934446,-0.6544147,0.06988399,0.9358768,NaN,NaN,NaN,0,-1,0,897.0849,0.0004903
196414700,27.444632300001103,-79.8849,-44.77435,67.2512054,-0.337501645,0.349035233,0.187283859,0.8539273,-0.326903135,-0.0102006653,1.0464257,-0.7758598,0.0609354,1.040703,NaN,NaN,NaN,0,-1,0,854.025269,0.0278616
196945100,27.445162999996683,-80.1310654,-44.4919243,67.3396454,-0.291646272,0.398440748,0.191314042,0.848284364,-0.32772553,-0.0102006653,1.04887068,-0.7784166,0.05965703,1.04453814,NaN,NaN,NaN,0,-1,0,905.592468,0.0005304
221694900,27.469912500004284,-82.60788,-40.3946228,68.84929,-0.290563762,0.3993584,0.191496477,0.848183155,-0.3351271,-0.009792639,1.08350706,-0.814210832,0.049430076,1.12763214,NaN,NaN,NaN,0,-1,0,862.333069,0.024749800000000002
250512500,27.498730100007378,-83.07788,-37.1898575,69.88339,-0.270790726,0.41984573,0.206384435,0.841312945,-0.3355383,-0.002040133,1.101844,-0.417916358,-0.5398982,1.96240735,NaN,NaN,NaN,0,-1,0,820.9515,0.028817600000000002
250965300,27.49918389999948,-82.82533,-37.4745064,69.7889,-0.149195313,0.1914746,0.6814576,0.6904302,-0.3347159,-0.00163210661,1.09899151,-0.362946481,-0.617878735,2.064677,NaN,NaN,NaN,0,-1,0,890.327942,0.0004528
276477400,27.524695200001588,-76.91427,-37.51188,69.36785,-0.1435714,0.156876653,0.736416936,0.642236,-0.312922359,0.0293779168,1.06354022,-0.118777938,-0.9310792,2.33441281,NaN,NaN,NaN,0,-1,0,847.7714,0.025512100000000003
277089100,27.525307200005045,-76.91427,-37.51188,69.36785,-0.136061028,0.00440935744,0.8860644,0.4431229,-0.312922359,0.0293779168,1.06354022,-0.104715876,-0.946419656,2.34591818,NaN,NaN,NaN,0,-1,0,887.122253,0.00061170000000000007
305559800,27.553777199995238,-76.91427,-37.51188,69.36785,-0.137361854,-0.00256941933,0.8914287,0.4318334,-0.312922359,0.0293779168,1.06354022,0.00650225533,-1.07169986,2.45074439,NaN,NaN,NaN,0,-1,0,844.522339,0.0284707
331232200,27.579449600001681,-76.91427,-37.51188,69.36785,-0.146860272,-0.05665915,0.9303638,0.3311271,-0.312922359,0.0293779168,1.06354022,0.00650225533,-1.07169986,2.45074439,NaN,NaN,NaN,0,-1,0,804.243835,0.0256724
331807700,27.580025899995235,-76.91427,-37.51188,69.36785,-0.146860272,-0.05665915,0.9303638,0.3311271,-0.312922359,0.0293779168,1.06354022,0.00650225533,-1.07169986,2.45074439,NaN,NaN,NaN,0,-1,0,850.9126,0.00057550000000000006
360404700,27.608622400002787,-76.91427,-37.51188,69.36785,-0.146860272,-0.05665915,0.9303638,0.3311271,-0.312922359,0.0293779168,1.06354022,0.00650225533,-1.07169986,2.45074439,NaN,NaN,NaN,0,-1,0,810.1154,0.028597
360916200,27.609134300000733,-76.91427,-37.51188,69.36785,-0.146860272,-0.05665915,0.9303638,0.3311271,-0.312922359,0.0293779168,1.06354022,0.00650225533,-1.07169986,2.45074439,NaN,NaN,NaN,0,-1,0,867.3613,0.0005115
394613900,27.642831200006185,-76.91427,-37.51188,69.36785,-0.146860272,-0.05665915,0.9303638,0.3311271,-0.312922359,0.0293779168,1.06354022,0.00650225533,-1.07169986,2.45074439,NaN,NaN,NaN,0,-1,0,825.477051,0.033697700000000004
