system_time_ns,unity_realtime_s,pos_mm_x,pos_mm_y,pos_mm_z,rot_q_x,rot_q_y,rot_q_z,rot_q_w,joint_rad_0,joint_rad_1,joint_rad_2,gimbal_rad_0,gimbal_rad_1,gimbal_rad_2,force_N_x,force_N_y,force_N_z,is_holding,held_ring_id,event_code,fps,dt_frame_s
34907100,46.879626599999028,0,0,0,0,0,0,1,-5.29813625E-34,-672.088867,0,0,0,0,0,0,0,0,-1,0,0,0
57963000,46.902682800006005,0,-65.51071,-88.1142,0,0,0,1,0,0.268889546,-0.370812863,0.00138877821,0.7959978,-0.150737166,0,0,0,0,-1,0,43.3728447,0.0230559
58512500,46.903232800003025,0,-65.51071,-88.1142,-0.210352018,-0.0164652038,-0.07398352,0.9746832,0,0.268889546,-0.370812863,0.000110408779,0.7959978,-0.150737166,0,0,0,0,-1,0,132.196014,0.00054950000000000008
85122500,46.929841899996973,0,-65.51071,-88.1142,-0.210392237,-0.015933264,-0.07363243,0.97471,0,0.268889546,-0.370812863,0.00138877821,0.7959978,-0.150737166,0,0,0,0,-1,0,127.46521,0.02661
85633300,46.93035310000414,0,-65.51071,-88.1142,-0.210352018,-0.0164652038,-0.07398352,0.9746832,0,0.268889546,-0.370812863,0.00138877821,0.7959978,-0.150737166,0,0,0,0,-1,0,218.977615,0.00051080000000000006
111431700,46.956151400008821,0,-65.51071,-88.1142,-0.210352018,-0.0164652038,-0.07398352,0.9746832,0,0.268889546,-0.370812863,0.00138877821,0.7959978,-0.150737166,0,0,0,0,-1,0,209.966843,0.025798400000000003
135643800,46.980363599999691,0,-65.51071,-88.1142,-0.210352018,-0.0164652038,-0.07398352,0.9746832,0,0.268889546,-0.370812863,0.000110408779,0.7959978,-0.150737166,0,0,0,0,-1,0,201.533585,0.0242121
136080400,46.980800600009388,0,-65.51071,-88.1142,-0.210392237,-0.015933264,-0.07363243,0.97471,0,0.268889546,-0.370812863,0.000110408779,0.7959978,-0.150737166,0,0,0,0,-1,0,305.9782,0.00043660000000000004
163520500,47.008239700007834,0,-65.51071,-88.1142,-0.210392237,-0.015933264,-0.07363243,0.97471,0,0.268889546,-0.370812863,0.000110408779,0.7959978,-0.150737166,0,0,0,0,-1,0,292.501465,0.027440100000000002
164087900,47.008808099999442,0,-65.51071,-88.1142,-0.210392237,-0.015933264,-0.07363243,0.97471,0,0.268889546,-0.370812863,0.000110408779,0.7959978,-0.150737166,0,0,0,0,-1,0,365.99765,0.0005674
187123200,47.031842299998971,0,-65.51071,-88.1142,-0.210392237,-0.015933264,-0.07363243,0.97471,0,0.268889546,-0.370812863,0.000110408779,0.7959978,-0.150737166,0,0,0,0,-1,0,349.868347,0.0230353
212434500,47.057153400004609,0,-65.51071,-88.1142,-0.210392237,-0.015933264,-0.07363243,0.97471,0,0.268889546,-0.370812863,0.000110408779,0.7959978,-0.150737166,0,0,0,0,-1,0,334.350342,0.025311300000000002
213058000,47.057778000002145,0,-65.51071,-88.1142,-0.210392237,-0.015933264,-0.07363243,0.97471,0,0.268889546,-0.370812863,0.000110408779,0.7959978,-0.150737166,0,0,0,0,-1,0,397.8253,0.0006235
238129200,47.082848200006993,0,-65.51071,-88.1142,-0.210392237,-0.015933264,-0.07363243,0.97471,0,0.268889546,-0.370812863,0.000110408779,0.7959978,-0.150737166,0,0,0,0,-1,0,379.928345,0.025071200000000002
238652200,47.083372200009762,0,-65.51071,-88.1142,-0.210392237,-0.015933264,-0.07363243,0.97471,0,0.268889546,-0.370812863,0.000110408779,0.7959978,-0.150737166,0,0,0,0,-1,0,456.5342,0.000523
263862000,47.10858110000845,0,-65.51071,-88.1142,-0.210392237,-0.015933264,-0.07363243,0.97471,0,0.268889546,-0.370812863,0.000110408779,0.7959978,-0.150737166,0,0,0,0,-1,0,435.690857,0.0252098
291923300,47.136642800003756,0,-65.51071,-88.1142,-0.210392237,-0.015933264,-0.07363243,0.97471,0,0.268889546,-0.370812863,0.000110408779,0.7959978,-0.150737166,0,0,0,0,-1,0,415.688141,0.0280613
292401000,47.137121200008551,0,-65.51071,-88.1142,-0.210392237,-0.015933264,-0.07363243,0.97471,0,0.268889546,-0.370812863,0.000110408779,0.7959978,-0.150737166,0,0,0,0,-1,0,499.57193,0.0004777
325769200,47.170488400006434,0,-65.51071,-88.1142,-0.210392237,-0.015933264,-0.07363243,0.97471,0,0.268889546,-0.370812863,0.000110408779,0.7959978,-0.150737166,0,0,0,0,-1,0,476.091766,0.0333682
326230900,47.170951000007335,0,-65.51071,-88.1142,-0.210392237,-0.015933264,-0.07363243,0.97471,0,0.268889546,-0.370812863,0.000110408779,0.7959978,-0.150737166,0,0,0,0,-1,0,560.582642,0.00046170000000000006
346046500,47.190765899998951,0,-65.51071,-88.1142,-0.210392237,-0.015933264,-0.07363243,0.97471,0,0.268889546,-0.370812863,0.000110408779,0.7959978,-0.150737166,0,0,0,0,-1,0,535.0768,0.019815600000000003
