system_time_ns,unity_realtime_s,pos_mm_x,pos_mm_y,pos_mm_z,rot_q_x,rot_q_y,rot_q_z,rot_q_w,joint_rad_0,joint_rad_1,joint_rad_2,gimbal_rad_0,gimbal_rad_1,gimbal_rad_2,force_N_x,force_N_y,force_N_z,is_holding,held_ring_id,event_code,fps,dt_frame_s
32726900,25.993903800030239,0,0,0,0,0,0,1,0,0.268889546,-0.3704054,-0.00372469914,0.7947194,-0.135396734,0,0,0,0,-1,0,0,0
33277500,25.994454800034873,0,0,0,-0.210191533,-0.0126926685,-0.0651076,0.975407362,0,0.268889546,-0.3704054,-0.00372469914,0.7947194,-0.135396734,0,0,0,0,-1,0,1816.20056,0.0005506
69296100,26.030472600017674,0,-65.5303955,-88.0635452,-0.210191533,-0.0126926685,-0.0651076,0.975407362,0,0.268889546,-0.3704054,-0.00372469914,0.7947194,-0.135396734,0,0,0,0,-1,0,1726.77869,0.036018600000000005
69928400,26.03110540000489,0,-65.5303955,-88.0635452,-0.210191533,-0.0126926685,-0.0651076,0.975407362,0,0.268889546,-0.3704054,-0.00372469914,0.7947194,-0.135396734,0,0,0,0,-1,0,1719.51611,0.0006323
84994400,26.046171400055755,0,-65.5303955,-88.0635452,-0.210191533,-0.0126926685,-0.0651076,0.975407362,0,0.268889546,-0.3704054,-0.00372469914,0.7947194,-0.135396734,0,0,0,0,-1,0,1636.859,0.015066000000000001
116235100,26.077411900041625,0,-65.5303955,-88.0635452,-0.210191533,-0.0126926685,-0.0651076,0.975407362,0,0.268889546,-0.3704054,-0.00372469914,0.7947194,-0.135396734,0,0,0,0,-1,0,1556.61658,0.031240700000000003
116867300,26.078044200025033,0,-65.5303955,-88.0635452,-0.210191533,-0.0126926685,-0.0651076,0.975407362,0,0.268889546,-0.3704054,-0.00372469914,0.7947194,-0.135396734,0,0,0,0,-1,0,1557.87463,0.00063220000000000008
142875600,26.104052200040314,0,-65.5303955,-88.0635452,-0.210191533,-0.0126926685,-0.0651076,0.975407362,0,0.268889546,-0.3704054,-0.00372469914,0.7947194,-0.135396734,0,0,0,0,-1,0,1481.90332,0.0260083
143568800,26.10474580002483,0,-65.5303955,-88.0635452,-0.210191533,-0.0126926685,-0.0651076,0.975407362,0,0.268889546,-0.3704054,-0.00372469914,0.7947194,-0.135396734,0,0,0,0,-1,0,1479.93738,0.0006932
168541800,26.12971850001486,0,-65.5303955,-88.0635452,-0.210191533,-0.0126926685,-0.0651076,0.975407362,0,0.268889546,-0.3704054,-0.00372469914,0.7947194,-0.135396734,0,0,0,0,-1,0,1407.94263,0.024973000000000002
